Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
General Administration,201,Establishment Expenses,210,Honorarium-Others,2101010,0,0,108,0,170,170,8.12,170,107,57
General Administration,201,Establishment Expenses,210,Washing Allowance,2101011,0,0,0,0,0,0,0,0,0,0
General Administration,201,Establishment Expenses,210,Outsource Agencies Wages (Others),2101012,802.04,1500,1960,1961.41146,2273.4,2630,2136.31,2570,1781.61,2306.36
General Administration,201,Establishment Expenses,210,Dirty Allowance,2101013,0,0,0,0,0,0,0,0,0,0
General Administration,201,Establishment Expenses,210,Subsistence Allowance,2101014,0,0,8,0,16,20,0.72,20,20.17,23.6
General Administration,201,Establishment Expenses,210,PHC Allowance,2101015,0,0,0,0,0,0,0,0,0,0
General Administration,201,Establishment Expenses,210,Per Pay,2101017,0,0,0,0,0,0,0,0,0,0
General Administration,201,Establishment Expenses,210,Outsource Agencies Wages (IT Professionals),2101021,2259.5,1200,1180,1136.32081,1200,1560,1130.83,1730,1660,1918.76
General Administration,201,Establishment Expenses,210,Outsource Agencies Wages (Security Guards and Police Department),2101022,649.19,800,893.24,530.3689,896.15,950,612.62,1200,940.1,1226.37
General Administration,201,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,4.36,68.58,20,753.35564,20,850,563.8,90,800,1001
General Administration,201,Establishment Expenses,210,Leave Travel Concession,2102001,10.82,21.1,5.1,0,7.66,15,6.84,20,29.17,33.5
General Administration,201,Establishment Expenses,210,Medical Reimbursement,2102002,216.03,280.44,408.53,239.04021,442.72,440,241.07,450,377.17,421
General Administration,201,Establishment Expenses,210,Concession in Bus-Pass,2102008,0,30,30,0,32,40,0,40,40,45
General Administration,201,Establishment Expenses,210,Liveries to Employees and Staff,2102015,64.11,155.5,115,95.05497,127.81,130,70.3,130,136,166.4
General Administration,201,Establishment Expenses,210,Performance Incentives,2102016,0.04,0,0,0,0,0,0,0,0,0
General Administration,201,Establishment Expenses,210,Health care & Medical Insurance,2102017,0.45,70,60.3,41.482,60.85,45,0,45,35,165
General Administration,201,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,455.95,0,628.35,680.79
General Administration,201,Establishment Expenses,210,Family Pension,2103002,5.67,8.5,12.4,0,10.31,0,108.4,0,73.79,84.45
General Administration,201,Establishment Expenses,210,Payment of Pension and Leave Salary Contributions to Deputationists,2104005,22.15,20,73,76.67987,90.3,100,179.6,100,50,55
General Administration,201,Administrative Expenses,220,Office Electricity Charges,2201101,134.59,169.35,225.05,340.86794,259.31,400,260.12,270,455,480
General Administration,201,Administrative Expenses,220,Office Water Charges,2201102,32,68.5,64.95,27.78541,90,50,39.77,30,89,95
General Administration,201,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201,23.64,35.02,30,7.20784,30,30,9.1,10,31.5,34.3
General Administration,201,Administrative Expenses,220,Computer Consumables,2202103,1.04,2,2,0.38063,2,5,6.43,10,7,7
General Administration,201,Administrative Expenses,220,Service Postage,2202104,4.8,75,85.96,19.75103,91.66,90,0.15,5,23,17.5
General Administration,201,Administrative Expenses,220,Travelling and Study Tours,2203001,26.96,200,201,115.92602,204.12,230,128.19,130,52,56
General Administration,201,Administrative Expenses,220,Hiring Charges for Light Vehicles (Other than Conservancy),2203004,122.76,324.35,515.44,663.17216,650.74,975,877.64,715,1015,1086
General Administration,201,Administrative Expenses,220,Legal Fees,2205101,0,2.5,2.52,0.05,5.05,20,0.06,20,15,17.3
General Administration,201,Administrative Expenses,220,Consultancy Charges,2205201,382.73,359,254.46,275.66923,264.6,350,414.89,340,370.5,364
General Administration,201,Administrative Expenses,220,Other Professional Charges,2205202,0,0,0,10.39325,0,45,15.7,50,55,63
General Administration,201,Administrative Expenses,220,Hospitality Expenses,2206004,49.44,43,42.5,39.08585,45.87,55,40.04,65,45,49.4
General Administration,201,Administrative Expenses,220,Organisation of Expenses,2206005,0,24.75,7,30.17982,12,170,335.71,170,492,503
General Administration,201,Administrative Expenses,220,"Meetings, Seminars, Conferences, Exhibitions, etc.",2206006,0.39,17,24.3,22.94478,25.58,65,579.41,30,156,59
General Administration,201,Administrative Expenses,220,Contributions to City Managers Association of Andhra Pradesh,2206101,0,5,5,0,5,5,0,10,0,0
General Administration,201,Administrative Expenses,220,Subscriptions & Membership Fees,2206102,4.19,8,8,10.75936,9,10,0.2,10,10,12
General Administration,201,Administrative Expenses,220,Miscellaneous Expenses,2208001,0,2.7,5.16,0.67805,8,20,60.23,0,4030.5,1210
General Administration,201,Administrative Expenses,220,Petty Contingent Expenses,2208002,55.55,507.06,300,251.8850308,300,575,87.81,280,112.31,119
General Administration,201,Administrative Expenses,220,Unforeseen Contingencies,2208005,0,5,2.55,322.71706,7.49,195,344.48,240,414.23,485.53
General Administration,201,Administrative Expenses,220,Payment from 3% Contingency,2208051,0,1,1,0.73395,1,2,12.2,2,0,0
General Administration,201,Operation & Maintenance,230,Swatch Bharath,2305120,0,0,0,0,0,0,0,0,177,232
Total for General Administration (0201),,,,,,8767.89,10476.99,10400.31,11500.5892208,11965.02,16394,14281.38,15014,21757.08,20908.97
Public Relations,202,Establishment Expenses,210,Basic Pay,2101001,54.49,65,60,53.55044,60,65,49.06,70,109,115
Public Relations,202,Establishment Expenses,210,Dearness Allowance,2101002,26.06,35,20,27.12116,30,38,33.29,35,34,39
Public Relations,202,Establishment Expenses,210,House Rent Allowance,2101003,15.27,20,20,14.9107,20,17,12.7,17,30,33
Public Relations,202,Establishment Expenses,210,CCA,2101004,1.27,2,2,2.93579,2,5,1.03,5,6,7
Public Relations,202,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.95,1,1,0.33157,1,1,0.96,1,2.5,3
Public Relations,202,Establishment Expenses,210,Interim Relief,2101006,0.29,1,1,4.50682,1,18,11.31,16,3.5,4
Public Relations,202,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201,1.17,2.6,3,0.34601,3,5,0.21,3,2,2
Public Relations,202,Administrative Expenses,220,Newspapers & Journals,2202001,16.89,54.75,100.44,10.14744,85.46,85,8.32,25,34,38.15
Public Relations,202,Administrative Expenses,220,Printing & Stationery,2202101,307.73,375,400.61,235.97565,727.61,725,238,270,325,339
Public Relations,202,Administrative Expenses,220,Advertisement/Print Media,2206001,620.59,600,714.7,633.46903,841.56,790,347.31,735,424.34,458.43
Public Relations,202,Administrative Expenses,220,Organisation of Festivals,2206005,0,0,0,83.13514,0,0,58.07,0,112,125
Public Relations,202,Administrative Expenses,220,"Meetings, Seminars, Conferences, Exhibitions, etc.",2206006,214.8,172.42,230,141.1474,720,650,86.12,140,246.12,251
Total for Public Relations (0202),,,,,,1259.51,1328.77,1552.75,1207.57715,2491.63,2399,846.38,1317,1328.46,1414.58
Information Technology,203,Establishment Expenses,210,Basic Pay,2101001,25.84,35,30,24.90233,30,32,25.66,32,35,38
Information Technology,203,Establishment Expenses,210,Dearness Allowance,2101002,12.63,20,10,14.76138,10,20,18.49,20,18,20
Information Technology,203,Establishment Expenses,210,House Rent Allowance,2101003,7.74,11.5,10,7.27406,10,8,7.51,9,13,15
Information Technology,203,Establishment Expenses,210,CCA,2101004,0.42,1,1,0.4145,1,1,0.54,1,1,1
Information Technology,203,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.51,6,1,1.58317,1,3,2.08,4,2,2
Information Technology,203,Establishment Expenses,210,Interim Relief,2101006,0,0,0,0,0,0,5.4,0,2.25,2.5
Information Technology,203,Establishment Expenses,210,Outsource Agencies Wages(I.T. Professionals),2101021,0,0,0,0,0,0,0,0,0,0
Information Technology,203,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,2.64,0,8,8
Information Technology,203,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,0.31,0,1.5,1.5
Information Technology,203,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201,214.75,219.33,230,205.16679,240,250,181.16,200,203,214
Information Technology,203,Administrative Expenses,220,Computer Consumables,2202103,107.66,155.8,123.49,143.46306,137,145,47.61,150,321,326
Information Technology,203,Operation & Maintenance,230,Repairs and Maintenance to Computers & Network,2305902,118.49,158,240,156.81395,269.7,400,253.53,300,252,265
Total for Information Technology (0203),,,,,,488.04,606.63,645.49,554.37924,698.7,859,544.93,716,856.75,893
Legal,204,Establishment Expenses,210,Basic Pay,2101001,15.81,22,20,20.12464,20,25,6.06,25,18,20
Legal,204,Establishment Expenses,210,Dearness Allowance,2101002,7.86,10,10,11.30135,10,16,12.13,15,9,10
Legal,204,Establishment Expenses,210,House Rent Allowance,2101003,5.04,7,10,5.88742,10,7,5.02,7,9.5,11
Legal,204,Establishment Expenses,210,CCA,2101004,0.26,0.5,1,0.00529,1,1,0.13,1,2,2.5
Legal,204,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.58,1,1,0.84187,1,2,4.19,2,2.5,3
Legal,204,Establishment Expenses,210,Interim Relief,2101006,0,1,1,0.80644,1,3,4.1,3,1.5,0.5
Legal,204,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,0,0,8.5,9.5
Legal,204,Administrative Expenses,220,Legal Fees,2205101,159.79,171,180,167.98036,220,210,101.42,150,156,183
Legal,204,Administrative Expenses,220,Compensation ordered by Courts,2205104,11.36,25,10,83.98762,15,25,1.5,80,136,147
Total for Legal (0204),,,,,,200.7,237.5,233,290.93499,278,289,134.55,283,343,386.5
Vigilance,205,Establishment Expenses,210,Basic Pay,2101001,23.35,30,30,23.35744,30,30,16.04,30,40,43
Vigilance,205,Establishment Expenses,210,Dearness Allowance,2101002,10.99,15,10,13.01583,10,18,12.03,16,11,12
Vigilance,205,Establishment Expenses,210,House Rent Allowance,2101003,6.83,8,10,6.36352,10,7,4.82,8,14,15
Vigilance,205,Establishment Expenses,210,CCA,2101004,34.94,33,20,24.3201,20,35,40.7,42,41,57
Vigilance,205,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.9,2,2,3.44467,2,8,4.26,7,13,14
Vigilance,205,Establishment Expenses,210,Interim Relief,2101006,0,1,1,0.27654,1,2,0.46,1,0.5,0.5
Total for Vigilance (0205),,,,,,77.01,89,73,70.7781,73,100,78.31,104,119.5,141.5
Finance & Accounts,301,Establishment Expenses,210,Basic Pay,2101001,835.25,855.01,760,574.53659,881.97,720,614.24,735,900,958
Finance & Accounts,301,Establishment Expenses,210,Dearness Allowance,2101002,380.43,3918.17,2731.74,344.24335,2915,475,453.99,440,454,439
Finance & Accounts,301,Establishment Expenses,210,House Rent Allowance,2101003,233.48,298.76,240,161.24861,250,178,172.61,185,376,394.5
Finance & Accounts,301,Establishment Expenses,210,CCA,2101004,21.02,40.1,30,12.76163,30,20,14.68,22,37.5,47.5
Finance & Accounts,301,Establishment Expenses,210,Conveyance & Other Allowances,2101005,19.82,16.2,10,16.801,10,40,36.63,35,94.5,114.5
Finance & Accounts,301,Establishment Expenses,210,Interim Relief,2101006,3.34,10.85,20,29.08098,20.13,118,116.88,106,23.53,19.5
Finance & Accounts,301,Establishment Expenses,210,Surrender Leave Encashment,2101007,185.54,350,356.07,171.77164,722.17,720,5.08,800,139,146.38
Finance & Accounts,301,Establishment Expenses,210,Medical Reimbursement,2102002,0,0,0,0,0,0,3.96,0,3,7
Finance & Accounts,301,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,7.48,345.58,20,0,20,0,0,0,0,0
Finance & Accounts,301,Establishment Expenses,210,Concession in Bus-Pass,2102008,0,0,0,0,0,0,196,0,0,0
Finance & Accounts,301,Establishment Expenses,210,Liveries to Employees and Staff,2102015,0.82,1.5,2,0,3,0,0,0,0,0
Finance & Accounts,301,Establishment Expenses,210,Service Pension,2103001,5443.1,6000,5451.5,6850.66064,6000,7400,2789.73,7240,3747.5,4213
Finance & Accounts,301,Establishment Expenses,210,Family Pension,2103002,813.58,1069.36,825,817.3869,860,1225,749.64,1430,1396,1532
Finance & Accounts,301,Establishment Expenses,210,Anticipatory and Provisional Pension,2103003,3.96,6,5.42,8.44615,6.95,15,10.12,20,35,47
Finance & Accounts,301,Establishment Expenses,210,Old Age Pension,2103004,408.06,700,770,1352.4478,978.91,1740,-112.7,1950,1139.61,1054.5
Finance & Accounts,301,Establishment Expenses,210,Leave encashment on Retirement,2104001,925.04,1050,1039.09,901.95057,1059.9,1060,873.15,1100,1081,1137
Finance & Accounts,301,Establishment Expenses,210,Death cum Retirement gratuity,2104002,1812.87,2400,2360,1984.03241,2452.15,2450,1878.88,2400,3264,3546
Finance & Accounts,301,Establishment Expenses,210,Commuted Pension,2104003,1268.25,1550,1488.28,1226.2991,1738.96,1740,1126.07,1700,3667.18,4110.1
Finance & Accounts,301,Establishment Expenses,210,Employer Contribution for New Pension,2104006,0,60,938.5,530.07954,148,200,17.6,300,106,406
Finance & Accounts,301,Administrative Expenses,220,Office Electricity Charges,2201101,80.23,42,60,15.79605,70,70,18.97,50,3.4,3
Finance & Accounts,301,Administrative Expenses,220,Office Water Charges,2201102,18.34,9.2,9.2,5.64434,12.91,20,3.73,10,1,1
Finance & Accounts,301,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201,12.22,90.3,28.24,7.42275,42.55,50,3.28,12,7,7.6
Finance & Accounts,301,Administrative Expenses,220,Hiring Charges for Light Vehicles (Other than Conservancy),2203004,0.01,2,5,0,5,0,3.26,0,6,6.5
Finance & Accounts,301,Administrative Expenses,220,Legal Fees,2205101,0,0.02,3,0,2,0,0,0,1,1
Finance & Accounts,301,Administrative Expenses,220,Consultancy Charges,2205201,0.39,476.73,330,222.11395,360,350,34.42,340,88.5,61.3
Finance & Accounts,301,Administrative Expenses,220,Other Professional Charges,2205202,0,0,0,7.36007,69,20,2.99,25,13,18.3
Finance & Accounts,301,Interest & Finance Charges,240,Interest on Loans,2405001,0,1000,1000,0,200,0,0,0,0,0
Finance & Accounts,301,Interest & Finance Charges,240,Interest on Bank Overdrafts,2405002,1231.84,1800,1792.56,0,250,0,0,0,0,0
Finance & Accounts,301,Interest & Finance Charges,240,Miscellaneous Bank Charges,2407001,15.69,50,11.44,1.77924,19.45,20,1.94,20,14,18
Finance & Accounts,301,Interest & Finance Charges,240,Transaction Processing for Collections,2408003,0,50,50,0,55,70,0,100,124,120
Total for Finance & Accounts (0301),,,,,,13720.76,22191.78,20337.04,15241.86331,19183.05,18701,9015.15,19020,16721.72,18408.68
Audit ,302,Establishment Expenses,210,Basic Pay,2101001,173.15,254,230,153.38158,230,195,154.95,195,284.35,306.35
Audit ,302,Establishment Expenses,210,Dearness Allowance,2101002,81.82,112,80,96.71049,80,135,107.04,120,68.68,89.02
Audit ,302,Establishment Expenses,210,House Rent Allowance,2101003,46.34,89,70,45.46468,70,50,41.16,50,126.79,150.85
Audit ,302,Establishment Expenses,210,CCA,2101004,4.57,11.65,10,3.36663,10,5,3.12,6,27.31,31
Audit ,302,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.34,4.8,1,0.53711,1,2,4.79,2,6.87,7.37
Audit ,302,Establishment Expenses,210,Interim Relief,2101006,0,1.5,2,9.15348,2,37,33.87,33,5.5,3.5
Audit ,302,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,7.27,0,9.19,12.95
Audit ,302,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,112.59,0,118.06,125.55
Total for Audit (0302),,,,,,306.22,472.95,393,308.61397,393,424,464.79,406,646.75,726.59
Local Body Elections,401,Establishment Expenses,210,Basic Pay,2101001,75.32,95,80,84.84501,90,105,104.4,105,140,150
Local Body Elections,401,Establishment Expenses,210,Dearness Allowance,2101002,40.25,45,30,35.61481,30,50,39.86,45,45,47
Local Body Elections,401,Establishment Expenses,210,House Rent Allowance,2101003,13.56,35,30,15.47952,30,18,15.4,18,35,38
Local Body Elections,401,Establishment Expenses,210,CCA,2101004,1.09,1,1,1.29096,1,2,1.29,3,3,3.16
Local Body Elections,401,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.31,1,1,0.26823,1,1,0.39,1,1,1.05
Local Body Elections,401,Establishment Expenses,210,Interim Relief,2101006,0.14,1,2,3.58871,2,15,13.57,13,13,13.65
Local Body Elections,401,Programme Expenses,250,MP/MLA Elections,2501001,26.93,60,33,39.63016,36,100,806.57,100,306,302
Local Body Elections,401,Programme Expenses,250,Local Body Elections,2501002,0,20,6.1,21.13043,20.1,1600,82.75,300,742,164.1
Total for Local Body Elections (0401),,,,,,157.6,258,183.1,201.84783,210.1,1891,1064.23,585,1285,718.96
Estate,600,Establishment Expenses,210,Basic Pay,2101001,47.26,60,50,38.6537,50,50,30.23,50,72.25,75.4
Estate,600,Establishment Expenses,210,Dearness Allowance,2101002,19.92,20,10,23.94894,10,30,25.43,30,20.38,24
Estate,600,Establishment Expenses,210,House Rent Allowance,2101003,11.31,20,20,11.82928,20,14,9.06,14,19.3,23
Estate,600,Establishment Expenses,210,CCA,2101004,0.95,1,1,0.92671,1,2,0.72,2,1.2,1.4
Estate,600,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.31,1,1,1.83273,1,4,3.61,4,8,10
Estate,600,Establishment Expenses,210,Interim Relief,2101006,0,0,0,0,0,0,4.31,0,0.9,0.25
Estate,600,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,32.17,0,42.1,48.1
Estate,600,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,0.72,0,20,35
Total for Estate (0600),,,,,,79.75,102,82,77.19136,82,100,106.25,100,184.13,217.15
City and Town Planning,1100,Establishment Expenses,210,Basic Pay,2101001,607.31,793.49,700,605.61169,710,760,591.84,775,931,1025
City and Town Planning,1100,Establishment Expenses,210,Dearness Allowance,2101002,304.44,317.09,220,363.53633,480,500,439.95,465,255,275
City and Town Planning,1100,Establishment Expenses,210,House Rent Allowance,2101003,160.7,229.15,180,161.40274,190,180,147.13,185,241.5,279
City and Town Planning,1100,Establishment Expenses,210,CCA,2101004,11.72,31.94,20,12.06835,20,18,11.47,20,29.5,31.25
City and Town Planning,1100,Establishment Expenses,210,Conveyance & Other Allowances,2101005,4.56,14.55,10,14.002,10,32,49.32,30,81.5,89.5
City and Town Planning,1100,Establishment Expenses,210,Interim Relief,2101006,1.45,12.7,20,25.52598,20,105,106.07,94,12.07,8
City and Town Planning,1100,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,6.15,0,51.77,59.47
City and Town Planning,1100,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,135.09,0,101.5,110.5
City and Town Planning,1100,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,1.12,0,2,2
City and Town Planning,1100,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201,0.14,0.1,1,0.01168,1,4,0.08,2,0,0
City and Town Planning,1100,Administrative Expenses,220,Consultancy Charges,2205201,0.23,2,3,0,3,0,2.5,0,0,0
City and Town Planning,1100,Operation & Maintenance,230,"Mapping, Plotting & Drawing Expenses",2308005,1.26,40,40,0,44,20,2.63,5,0,5
City and Town Planning,1100,Operation & Maintenance,230,Naming & Numbering Streets,2308006,4.72,150,150,27.06904,1000,450,0,200,35,40
Total for City and Town Planning (1100),,,,,,1096.53,1591.02,1344,1209.22781,2478,2069,1493.35,1776,1740.84,1924.72
Street Lighting,2400,Establishment Expenses,210,Basic Pay,2101001,77.98,98,90,36.79484,90,45,54.42,45,352,403
Street Lighting,2400,Establishment Expenses,210,Dearness Allowance,2101002,33.26,40,30,26.11823,30,36,33.13,35,49,54
Street Lighting,2400,Establishment Expenses,210,House Rent Allowance,2101003,20.68,24,20,11.7841,20,13,14.23,14,67,77
Street Lighting,2400,Establishment Expenses,210,CCA,2101004,1.81,2,2,0.822,2,2,2.33,2,4.5,4.5
Street Lighting,2400,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.77,2,1,0.79582,1,2,6.01,2,17,19
Street Lighting,2400,Establishment Expenses,210,Interim Relief,2101006,0,2,2,1.78601,2,7,13.07,7,5.5,2.5
Street Lighting,2400,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,627.3,250,609.65,0,329.9,0,0,0,0,0
Street Lighting,2400,Operation & Maintenance,230,Power Charges for Street Lighting,2301001,12394.43,14000,13077.17,17809.48587,16000,18200,16939.46,20000,17485,18216.7
Street Lighting,2400,Operation & Maintenance,230,Power Charges for Water Pumping,2301002,167.03,800,800,731.0824,816.79,800,1475.83,600,1471.32,1568.95
Street Lighting,2400,Operation & Maintenance,230,Repairs & Maintenance to Street Lighting,2305009,2998.32,5000,3900,3291.28027,6545,7800,3364.62,2500,3433,3850.3
Total for Street Lighting (2400),,,,,,16321.58,20218,18531.82,21909.94954,23836.69,26905,21903.1,23205,22884.32,24195.95
Transportation Planning,2602,Establishment Expenses,210,Basic Pay,2101001,20.18,1.06,20,0,20,0,1.95,0,0,0
Transportation Planning,2602,Establishment Expenses,210,Dearness Allowance,2101002,9.05,0.6,10,0,10,0,0,0,0,0
Transportation Planning,2602,Establishment Expenses,210,House Rent Allowance,2101003,5.69,0.62,10,0,10,0,0,0,0,0
Transportation Planning,2602,Establishment Expenses,210,CCA,2101004,0.39,0.01,1,0,1,0,0,0,0,0
Transportation Planning,2602,Establishment Expenses,210,Conveyance & Other Allowances,2101005,0.77,0,1,0,1,0,0,0,0,0
Transportation Planning,2602,Operation & Maintenance,230,Repairs & Maintenance of Traffic Signals,2305008,134.12,125,125,89.39597,128,140,28.65,300,100,125
Transportation Planning,2602,Operation & Maintenance,230,Road Marking,2305910,0,130,187.5,75.4213,213.5,150,137.68,70,30,35
Total for Transportation Planning (2602),,,,,,170.2,257.29,354.5,164.81727,383.5,290,168.28,370,130,160
Public Works-General,2801,Establishment Expenses,210,Basic Pay,2101001,2036.07,2698,2370,2132.45442,2930,2680,2171.02,2735,3220,3473
Public Works-General,2801,Establishment Expenses,210,Dearness Allowance,2101002,992.14,1110,770,1278.53351,1050,1760,1614.31,1635,1083,1354
Public Works-General,2801,Establishment Expenses,210,House Rent Allowance,2101003,574.24,780.05,630,604.99452,640,670,610.98,695,1183,1290
Public Works-General,2801,Establishment Expenses,210,CCA,2101004,40.62,110.2,80,45.05383,80,65,52.54,80,107,120
Public Works-General,2801,Establishment Expenses,210,Conveyance & Other Allowances,2101005,64.55,72.7,60,59.51105,60,140,183.75,130,191,201
Public Works-General,2801,Establishment Expenses,210,Interim Relief,2101006,7.31,30.06,40,111.09167,50,452,436.35,407,152.96,126
Public Works-General,2801,Establishment Expenses,210,Surrender Leave Encashment,2101007,0,0,0,0,0,0,14.52,0,126.04,134.2
Public Works-General,2801,Establishment Expenses,210,Salary Reimbursement to Parent Departments,2101051,0.2,1.8,2,0,2,0,0.47,0,1.25,3.3
Public Works-General,2801,Establishment Expenses,210,Service Pension,2103001,0,0,0,0,0,0,251.79,0,128,139
Public Works-General,2801,Establishment Expenses,210,Family Pension,2103002,0,0,0,0,0,0,4.85,0,8,10.33
Public Works-General,2801,Administrative Expenses,220,Office Electricity Charges,2201101,0.88,8,10,10.82055,10,30,2.91,20,6,7
Public Works-General,2801,Administrative Expenses,220,"Office Telephone, Mobiles, Fax and Leased Lines",2201201,1.77,2.65,3,0.4081,3,4,0.29,2,2,3
Public Works-General,2801,Administrative Expenses,220,Hiring Charges for Light Vehicles (Other than Conservancy),2203004,9,13,20,0,20,0,0,0,0,0
Public Works-General,2801,Administrative Expenses,220,Consultancy Charges,2205201,2.3,72.8,50,0,50,0,104.49,0,0,0
Public Works-General,2801,Administrative Expenses,220,Other Professional Charges,2205202,119.52,80.57,59.67,6.00036,0,20,0,25,100,125
Public Works-General,2801,Administrative Expenses,220,Payment from 3% Contingency,2208051,49.39,11.38,4.51,9.21409,6.95,8,0,8,16,16
Public Works-General,2801,Operation & Maintenance,230,Repairs and Maintenance of Major Roads & Pavements,2305001,6709.47,6500,6200,2366.28015,8500,8500,5666.36,3800,3650,3975
Public Works-General,2801,Operation & Maintenance,230,Repairs and Maintenance to Inner Roads,2305002,2860.95,6000,4770,2105.06841,7500,7500,2542.57,3000,3766.15,4129.41
Public Works-General,2801,Operation & Maintenance,230,"Repairs and maintenance to Bridges, Culverts & Flyovers",2305003,73.05,175,502,218.13574,543,500,35.45,350,355,365
Public Works-General,2801,Operation & Maintenance,230,Sewerage Lines (O&M),2305006,0,0,300,110.97109,500,500,334.53,600,702.33,777.56
Public Works-General,2801,Operation & Maintenance,230,Repairs and Maintenance to Storm Water Drains,2305007,3302.74,4000,4510,3487.66394,6000,6000,3790.03,4400,5055.5,5460
Public Works-General,2801,Operation & Maintenance,230,Rain Water Harvesting Structure,2305011,0,300,210,0.84754,419.8,400,1.19,400,231,266.5
Public Works-General,2801,Operation & Maintenance,230,Road Cutting and Restoration,2305021,897.46,2000,1730,686.38879,2500,2500,1209.24,950,1960,2760
Public Works-General,2801,Operation & Maintenance,230,Repairs and Maintenance to Buildings,2305205,679.8,500,1689.24,483.48437,1100.99,850,500.83,600,927,1030.8
